id,skills,education,experience_years,role
38,"cybersecurity, flask, networking, nlp, php, rabbitmq, terraform",Bachelors,11,Cybersecurity Analyst
39,"dotnet, machine_learning, powerbi, r",Bachelors,7,Data Scientist
40,"mysql, project_management, python, technical_writing, ux_research",Bachelors,7,Backend Developer
41,"cpp, firebase, solidity, statistics, technical_writing, terraform, testing",Masters,3,Frontend Developer
42,"apache, blockchain, cypress, django, excel, leadership, spring, tableau",Bachelors,13,Backend Developer
43,"agile, docker, go, grpc, jenkins, powershell, scala, ux_research",Bachelors,10,DevOps Engineer
44,"angular, cicd, mysql, python, solidity",Bachelors,8,Software Developer
45,"bash, problem_solving, sql, websockets",Masters,11,DevOps Engineer
46,"cpp, mongodb_atlas, scikit_learn",Masters,10,Robotics Engineer
47,"css, git, project_management, ruby",PhD,10,Project Manager
48,"computer_vision, gitlab, illustrator, php, powerbi, public_speaking, redis, terraform",Bachelors,4,DevOps Engineer
49,"excel, linux, scala",Masters,4,Cloud Engineer
50,"bash, jira, mysql, solidity, swift",Bachelors,15,Project Manager
51,"flask, postgresql, redis, ruby",Bachelors,14,Database Administrator
52,"dotnet, jenkins, pytest, technical_writing",Bachelors,5,DevOps Engineer
53,"excel, kotlin, mysql, tableau, websockets",Masters,14,Data Analyst
54,"cypress, django, javascript, laravel, python, redis, swift",Bootcamp,2,Backend Developer
55,"cypress, grpc, junit, machine_learning, php, selenium, technical_writing",Bachelors,5,QA Engineer
56,"nginx, php, project_management, statistics",PhD,10,Product Manager
57,"deep_learning, kafka, microservices, testing",Masters,1,Backend Developer
58,"cybersecurity, ethereum, pandas",Bachelors,8,Data Scientist
59,"angular, mongodb_atlas, sql, typescript",Bootcamp,9,Frontend Developer
60,"cybersecurity, elasticsearch, html, nginx, rabbitmq",Bootcamp,10,Cybersecurity Analyst
61,"bash, excel, hadoop, mongodb, nlp, project_management, ruby, testing",Bachelors,2,QA Engineer
62,"css, jira, networking, photoshop, redis, solidity, ui_design",Bachelors,2,Frontend Developer
63,"data_analysis, express, html, linux, nlp, powerbi, rest_apis, rust",Bachelors,10,Software Developer
64,"communication, html, microservices, websockets",Bootcamp,1,Backend Developer
65,"cypress, devops, docker, machine_learning, pytorch, ruby, vue",Bachelors,4,Data Scientist
66,"gitlab, html, mongodb_atlas, scikit_learn, sketch",Bootcamp,1,UX/UI Designer
67,"apache, css, illustrator, junit, photoshop, project_management, rest_apis",Bachelors,10,QA Engineer
68,"linux, pytest, selenium, statistics",Bootcamp,12,QA Engineer
69,"bash, cpp, docker, kubernetes, leadership, mysql",Bachelors,4,DevOps Engineer
70,"cypress, html, numpy",Masters,5,Frontend Developer
71,"cicd, csharp, figma, git, java, kubernetes, scala, terraform",Masters,10,DevOps Engineer
72,"ethereum, pandas, r",Bachelors,3,Blockchain Developer
73,"deep_learning, flask, kubernetes, postgresql, redis, rest_apis, sketch, statistics",Bootcamp,10,Backend Developer
74,"express, graphql, hadoop, jira, nginx, powerbi, sql",PhD,1,Backend Developer
75,"angular, leadership, networking, numpy, postgresql",Bachelors,13,Data Scientist
76,"bash, gcp, rails, redis, spring, statistics, tensorflow",Bootcamp,9,Data Scientist
77,"agile, firebase, gitlab, ux_research",Bachelors,9,DevOps Engineer
78,"angular, computer_vision, dotnet, flask, problem_solving, pytest",Bootcamp,6,QA Engineer
79,"django, express, git, java, terraform, vue",PhD,11,Software Developer
80,"cicd, cpp, flask, mongodb_atlas, numpy",Masters,15,Full Stack Developer
81,"junit, networking, rust, selenium",Bachelors,8,QA Engineer
82,"apache_spark, docker, grpc, javascript, rabbitmq, react, tableau",Bachelors,1,Full Stack Developer
83,"css, java, microservices, networking, rabbitmq, swift, tableau, technical_writing",Masters,12,Backend Developer
84,"cicd, html, terraform",Bachelors,14,DevOps Engineer
85,"angular, cypress, powershell, spring, tableau, tensorflow",Bachelors,13,Frontend Developer
86,"kotlin, powershell, typescript",Masters,11,Cybersecurity Analyst
87,"apache, illustrator, microservices, rails, ux_research",Masters,15,Solutions Architect
88,"gcp, github_actions, machine_learning, rails, scikit_learn, technical_writing, tensorflow",Masters,2,Data Scientist
89,"grpc, jira, pandas, pytest, rest_apis, ux_research",Bootcamp,3,Software Developer
90,"devops, flask, supabase, testing, websockets",Bachelors,14,Software Developer
91,"cpp, elasticsearch, php, sql, terraform",Bootcamp,6,DevOps Engineer
92,"elasticsearch, gcp, problem_solving, public_speaking",Bootcamp,4,Product Manager
93,"angular, dotnet, jenkins, nosql, sql",Bachelors,15,Database Administrator
94,"css, data_analysis, elasticsearch, graphql, hadoop, powerbi",PhD,3,Data Analyst
95,"aws, bash, blockchain, csharp, excel, problem_solving, rails, terraform",Bachelors,8,DevOps Engineer
96,"apache_spark, numpy, postgresql, problem_solving, r, rust, technical_writing",Bachelors,15,Data Scientist
97,"firebase, jira, kotlin, project_management, python",Bachelors,3,Product Manager
98,"data_viz, powerbi, python, statistics",Bootcamp,7,Data Scientist
99,"data_viz, hadoop, java, linux, nosql, powerbi, rabbitmq",PhD,14,Software Developer
100,"kotlin, postgresql, problem_solving, r",Masters,7,Database Administrator
101,"cybersecurity, dotnet, microservices, pytorch, sql, ux_research",Masters,13,Backend Developer
102,"cybersecurity, pandas, pytest, rabbitmq, sketch, swift",Bachelors,5,Data Analyst
103,"elasticsearch, java, postgresql",Bachelors,15,Software Developer
104,"agile, css, deep_learning, html, laravel, leadership, scala",Bachelors,3,Frontend Developer
105,"apache_spark, cpp, flask, go, pandas, react, testing",Bachelors,7,Frontend Developer
106,"bash, communication, cybersecurity, git, java, kafka, python",Masters,2,Backend Developer
107,"cicd, dotnet, kubernetes, mongodb, rust, solidity, tableau",Bootcamp,5,DevOps Engineer
108,"cpp, django, elasticsearch, figma, github_actions, mysql, rabbitmq, terraform",Bachelors,2,DevOps Engineer
109,"aws, javascript, networking, nodejs, php, ruby, ui_design",Bootcamp,9,Full Stack Developer
110,"cypress, gcp, kotlin, numpy, rest_apis, rust",Bachelors,15,Cloud Engineer
111,"html, jira, leadership, powershell, r, rails, spring",Bachelors,6,Project Manager
112,"csharp, graphql, jenkins, kotlin, react, selenium",Bachelors,3,Full Stack Developer
113,"firebase, github_actions, html, postgresql, terraform",PhD,1,Cloud Engineer
114,"figma, flask, gitlab, sketch",Bachelors,13,UX/UI Designer
115,"bash, microservices, numpy, tensorflow",Bachelors,15,Data Scientist
116,"blockchain, css, figma, go, html, r, tableau, typescript",Bachelors,2,Frontend Developer
117,"computer_vision, graphql, jenkins, scikit_learn, sql, technical_writing",Bootcamp,12,Full Stack Developer
118,"agile, computer_vision, data_analysis, dotnet, hadoop, pytest, terraform",Masters,8,Project Manager
119,"devops, firebase, kotlin, php, pytorch",Bachelors,12,Data Scientist
120,"agile, computer_vision, csharp, figma, gcp, graphql, pandas, react",Bachelors,10,Solutions Architect
121,"data_analysis, figma, firebase, kotlin, networking",PhD,6,Systems Administrator
122,"cybersecurity, deep_learning, grpc, nlp, scikit_learn",Bootcamp,13,Data Scientist
123,"computer_vision, hadoop, java, javascript, leadership, mongodb, project_management",Bachelors,9,Software Developer
124,"hadoop, linux, php, rest_apis, scala",Bachelors,1,Software Developer
125,"agile, apache, elasticsearch, flask, linux, nginx, vue",Masters,13,Project Manager
126,"aws, deep_learning, jira, kubernetes, nlp",Masters,2,DevOps Engineer
127,"cybersecurity, git, gitlab, illustrator, react, rust",Bachelors,7,DevOps Engineer
128,"bash, jenkins, kafka, mongodb",PhD,6,Database Administrator
129,"blockchain, css, grpc, javascript, machine_learning, nginx, nosql, ui_design",Bachelors,4,Frontend Developer
130,"apache, docker, nosql, photoshop, scala, websockets",Bootcamp,2,Machine Learning Engineer
131,"apache, aws, kubernetes, laravel, networking, r, spring, statistics",Bootcamp,12,Cloud Engineer
132,"azure, data_analysis, kafka, pytorch, rest_apis, statistics",Bootcamp,13,Backend Developer
133,"aws, blockchain, cpp, gitlab, java, php",Bachelors,5,DevOps Engineer
134,"computer_vision, css, github_actions, graphql, microservices, problem_solving, ruby",Bachelors,9,Backend Developer
135,"blockchain, devops, ethereum, express, linux, machine_learning, statistics",Masters,13,Blockchain Developer
136,"laravel, nodejs, sketch",Masters,15,UX/UI Designer
137,"firebase, jira, kafka, mongodb, project_management, react, scala",PhD,6,Product Manager
138,"express, kubernetes, nginx, photoshop",Bootcamp,12,Backend Developer
139,"ethereum, go, nodejs, rust",Bachelors,1,Blockchain Developer
140,"cypress, data_analysis, gitlab, hadoop, pytorch, technical_writing",Bootcamp,1,Technical Writer
141,"aws, devops, gcp, html, jira, mongodb",Bachelors,12,Cloud Engineer
142,"bash, django, flask",Bachelors,9,Full Stack Developer
143,"deep_learning, leadership, testing",Masters,13,Project Manager
144,"git, hadoop, nginx, redis, ruby, statistics, supabase, typescript",Bachelors,9,Data Scientist
145,"communication, docker, figma, kotlin, powerbi, scikit_learn, tensorflow, terraform",Bachelors,2,Machine Learning Engineer
146,"apache, bash, express, mongodb_atlas, supabase",PhD,11,Backend Developer
147,"blockchain, dotnet, ethereum, r",Bachelors,14,Blockchain Developer
148,"cypress, graphql, jenkins, project_management, scala",Bachelors,4,Full Stack Developer
149,"firebase, flask, leadership, scikit_learn, ui_design",Masters,7,Machine Learning Engineer
150,"aws, deep_learning, spring",Bachelors,12,Machine Learning Engineer
151,"bash, pandas, powershell, testing",Masters,0,Systems Administrator
152,"agile, cpp, mongodb, ui_design",Bachelors,5,Robotics Engineer
153,"apache, aws, css, hadoop, linux, solidity, websockets",Bachelors,0,Cybersecurity Analyst
154,"blockchain, cpp, data_analysis, deep_learning, junit, rabbitmq, tableau, testing",Bachelors,0,QA Engineer
155,"blockchain, express, gitlab, kafka, machine_learning, numpy",Masters,3,Data Scientist
156,"django, excel, html, r, rabbitmq, spring, technical_writing, websockets",Masters,1,Backend Developer
157,"cybersecurity, java, microservices, powerbi",Bootcamp,2,Backend Developer
158,"apache, bash, devops, docker, flask, gcp, jira",PhD,14,DevOps Engineer
159,"aws, php, rest_apis, sql, statistics, tensorflow, typescript, ui_design",Bachelors,6,Backend Developer
160,"aws, dotnet, express, mongodb_atlas, nodejs, spring",PhD,8,Backend Developer
161,"agile, flask, go, junit, mongodb, problem_solving",Bachelors,11,Product Manager
162,"data_analysis, data_viz, express, microservices",Masters,10,Backend Developer
163,"cicd, devops, go, laravel, scikit_learn, terraform",Bachelors,10,DevOps Engineer
164,"excel, graphql, mongodb_atlas, project_management, sketch, swift, tensorflow, websockets",Bachelors,14,Data Analyst
165,"angular, css, dotnet, firebase, javascript, mongodb",Bachelors,4,Frontend Developer
166,"computer_vision, csharp, css, github_actions, powershell, solidity, typescript",Bootcamp,0,Frontend Developer
167,"communication, postgresql, testing",Bachelors,7,Technical Writer
168,"azure, blockchain, communication, docker, hadoop, kafka, sketch",Bootcamp,15,Backend Developer
169,"data_analysis, jenkins, linux, technical_writing",Masters,1,DevOps Engineer
170,"leadership, mongodb_atlas, r, statistics",Bachelors,3,Data Analyst
171,"cpp, java, jira, public_speaking, rails, technical_writing",Masters,6,Product Manager
172,"kafka, powershell, tensorflow",Masters,12,Systems Administrator
173,"angular, apache, dotnet, github_actions, javascript, machine_learning, photoshop, project_management",Bachelors,15,Frontend Developer
174,"flask, go, laravel, machine_learning, photoshop, rabbitmq, ui_design",PhD,3,UX/UI Designer
175,"apache, pytest, spring",PhD,10,QA Engineer
176,"apache, communication, cybersecurity, deep_learning, github_actions, numpy, tableau",PhD,8,Data Analyst
177,"agile, csharp, devops, r, redis, statistics, websockets",Bachelors,2,Data Analyst
178,"bash, git, leadership",Masters,2,Software Developer
179,"kubernetes, scikit_learn, tableau, technical_writing",Bachelors,2,Machine Learning Engineer
180,"data_viz, ethereum, numpy",Bootcamp,9,Data Scientist
181,"kafka, linux, sql",Bachelors,0,Backend Developer
182,"azure, pytorch, solidity",Bachelors,15,Machine Learning Engineer
183,"bash, hadoop, html, javascript, powershell, supabase",Bachelors,13,Frontend Developer
184,"agile, data_viz, jenkins, redis",Bootcamp,10,Data Scientist
185,"communication, firebase, gitlab, typescript",Bachelors,15,DevOps Engineer
186,"angular, blockchain, computer_vision, deep_learning, graphql, html, postgresql, pytorch",Bachelors,10,Data Scientist
187,"agile, junit, pytest, sketch, supabase, ux_research",Bachelors,1,QA Engineer
188,"apache, excel, grpc, kotlin, mysql, networking, nlp, testing",Bachelors,12,Frontend Developer
189,"cpp, cypress, html, leadership, public_speaking, sketch, tensorflow, websockets",Masters,15,Product Manager
190,"computer_vision, django, solidity, ui_design",Bootcamp,9,UX/UI Designer
191,"agile, devops, kafka, rabbitmq, solidity, technical_writing, ux_research",Masters,2,Blockchain Developer
192,"apache, docker, elasticsearch, figma, kafka, technical_writing",Bachelors,13,Backend Developer
193,"bash, cpp, cybersecurity, devops, django, git",Bachelors,14,Robotics Engineer
194,"git, nlp, numpy, rust, supabase, technical_writing, testing",Masters,10,Data Scientist
195,"azure, csharp, deep_learning, dotnet, excel, kotlin, microservices, numpy",Bachelors,4,Solutions Architect
196,"apache, csharp, pytorch, statistics",Bootcamp,4,Data Scientist
197,"gcp, java, photoshop, sql",Masters,14,Cloud Engineer
198,"communication, ethereum, git, jenkins, nginx, nodejs, powershell",Bachelors,10,Systems Administrator
199,"bash, computer_vision, graphql, php, sql, typescript",Bachelors,13,Backend Developer
200,"cicd, dotnet, kafka, linux, selenium, technical_writing",Bootcamp,0,DevOps Engineer
201,"excel, pytest, redis, solidity",PhD,0,QA Engineer
202,"devops, docker, dotnet, powershell, rabbitmq, sql, tableau, typescript",PhD,4,Backend Developer
203,"data_analysis, networking, postgresql",Bachelors,11,Systems Administrator
204,"jira, kafka, rest_apis",Bachelors,15,Backend Developer
205,"csharp, css, data_analysis, firebase, git, kubernetes, powershell",Masters,5,Solutions Architect
206,"aws, deep_learning, excel, mongodb_atlas, react, redis, solidity",Masters,1,Full Stack Developer
207,"computer_vision, nlp, pandas, terraform",Bachelors,8,Data Scientist
208,"azure, blockchain, jira, laravel, r",Bootcamp,6,Project Manager
209,"cybersecurity, elasticsearch, figma, kotlin, mongodb, nosql, tensorflow",Bachelors,1,Database Administrator
210,"aws, graphql, php, powerbi, react",Bachelors,4,Full Stack Developer
211,"agile, elasticsearch, git, graphql, leadership, python, scikit_learn, websockets",Masters,9,Project Manager
212,"cpp, cypress, nodejs, pytorch, react, solidity, terraform, vue",Bootcamp,1,Frontend Developer
213,"blockchain, django, ethereum, nosql, statistics, testing",Bootcamp,3,Blockchain Developer
214,"microservices, sketch, ux_research",Bachelors,1,UX/UI Designer
215,"illustrator, public_speaking, r, sketch",Masters,2,UX/UI Designer
216,"bash, data_analysis, devops, dotnet, python, technical_writing, terraform, vue",Bachelors,10,DevOps Engineer
217,"communication, cpp, go, mongodb_atlas, pytest, scala, statistics",Masters,4,Data Analyst
218,"pytorch, react, sketch, statistics",Bachelors,7,Data Scientist
219,"graphql, numpy, testing",Bachelors,3,QA Engineer
220,"devops, dotnet, java, microservices, problem_solving, swift",Bootcamp,2,Backend Developer
221,"csharp, data_viz, git, junit, kafka, kubernetes",Masters,4,Backend Developer
222,"blockchain, dotnet, rest_apis, selenium, sql",Bachelors,2,Backend Developer
223,"kotlin, scikit_learn, statistics, swift",Bootcamp,10,Machine Learning Engineer
224,"blockchain, github_actions, jira, linux, networking, technical_writing",Bootcamp,4,Cloud Engineer
225,"cpp, dotnet, gitlab, sql",Bachelors,9,Database Administrator
226,"agile, cicd, ethereum, kubernetes, mysql, problem_solving",Masters,2,DevOps Engineer
227,"figma, gitlab, graphql, rust, scikit_learn, vue, websockets",Bootcamp,2,UX/UI Designer
228,"computer_vision, express, junit, terraform",Bachelors,0,Data Scientist
229,"aws, redis, terraform",Bootcamp,0,DevOps Engineer
230,"gitlab, html, jira, mysql, rust",Bachelors,11,Database Administrator
231,"jira, powershell, pytest",Bootcamp,4,Project Manager
232,"bash, jenkins, rest_apis",Bachelors,13,DevOps Engineer
233,"csharp, nodejs, scala",Bachelors,7,Backend Developer
234,"cicd, communication, java, jira, junit, php, r",PhD,3,Project Manager
235,"communication, machine_learning, microservices, postgresql, sql, testing",Bachelors,3,Data Analyst
236,"apache_spark, nosql, powerbi, solidity, swift, testing",Bachelors,15,QA Engineer
237,"figma, gcp, graphql, leadership, mysql, pandas, statistics, websockets",Bachelors,15,Data Analyst
238,"aws, communication, csharp, javascript, linux, selenium, tableau",Bachelors,5,Cybersecurity Analyst
239,"aws, microservices, rust, scikit_learn, sketch, tensorflow, ui_design",Bachelors,9,Machine Learning Engineer
240,"css, javascript, linux",Bachelors,13,Frontend Developer
241,"cybersecurity, microservices, ruby, technical_writing",Bachelors,10,Cybersecurity Analyst
242,"data_analysis, laravel, pandas, photoshop",Bachelors,7,Data Analyst
243,"communication, hadoop, supabase, terraform",Bootcamp,8,UX/UI Designer
244,"aws, gcp, public_speaking, typescript",PhD,8,Solutions Architect
245,"dotnet, gitlab, kotlin, leadership, nosql, ux_research",PhD,11,Database Administrator
246,"deep_learning, figma, javascript, jenkins, networking, nginx",PhD,7,DevOps Engineer
247,"express, gitlab, html, illustrator, powerbi",Bachelors,0,DevOps Engineer
248,"angular, illustrator, networking",Bachelors,9,Cybersecurity Analyst
249,"angular, data_analysis, deep_learning, swift",Bootcamp,13,Frontend Developer
250,"apache_spark, express, flask, microservices, nginx, nosql",Bachelors,0,Backend Developer
251,"django, github_actions, hadoop, kafka, postgresql, scikit_learn",PhD,1,Backend Developer
252,"aws, css, grpc, linux, microservices, nlp, react",Masters,4,Cybersecurity Analyst
253,"cybersecurity, go, powerbi, redis, solidity, spring, vue",Bachelors,6,Backend Developer
254,"agile, angular, data_analysis, junit, leadership, python, ruby",Bachelors,14,Data Analyst
255,"cicd, django, firebase, go, mongodb",Masters,9,Full Stack Developer
256,"deep_learning, ethereum, figma, mongodb, nodejs, powershell, r, websockets",Bachelors,15,Backend Developer
257,"hadoop, mongodb, rails, redis, terraform",Masters,9,Database Administrator
258,"apache, ethereum, problem_solving, statistics, ui_design",Bachelors,11,Blockchain Developer
259,"apache_spark, java, kafka, kotlin, mongodb, postgresql, scikit_learn, terraform",Bootcamp,14,Backend Developer
260,"cicd, git, go, kubernetes, nodejs, rails, scikit_learn",Bootcamp,13,Full Stack Developer
261,"bash, excel, microservices, networking, photoshop, sql",Masters,5,Data Analyst
262,"docker, ethereum, express, kafka, kotlin, rest_apis, supabase",Bootcamp,8,Backend Developer
263,"cpp, devops, leadership, powershell, technical_writing",PhD,5,Cybersecurity Analyst
264,"communication, elasticsearch, firebase, grpc, kubernetes, microservices, powerbi, r",Bootcamp,13,Data Analyst
265,"hadoop, machine_learning, numpy, public_speaking, statistics, testing",Bachelors,9,Data Scientist
266,"bash, gcp, gitlab, java, junit, mysql, sketch, supabase",Bachelors,10,DevOps Engineer
267,"aws, dotnet, html, javascript, public_speaking, selenium, typescript, ui_design",Bachelors,7,Frontend Developer
268,"docker, ethereum, nginx, technical_writing, terraform",Masters,8,Cloud Engineer
269,"cybersecurity, data_viz, firebase, graphql, kafka, microservices, powerbi",Bootcamp,11,Backend Developer
270,"deep_learning, graphql, kubernetes, terraform, typescript",Masters,14,Solutions Architect
271,"ethereum, excel, firebase, github_actions, kotlin, redis",Bachelors,1,Data Analyst
272,"computer_vision, grpc, javascript, nosql, problem_solving, testing, vue",PhD,5,Frontend Developer
273,"angular, kotlin, laravel, leadership, mysql",PhD,8,Product Manager
274,"cypress, gitlab, nlp",Bachelors,13,Data Scientist
275,"blockchain, cpp, excel, kubernetes, nlp, photoshop, python",Bachelors,10,Data Scientist
276,"aws, azure, cybersecurity, elasticsearch, excel, linux, problem_solving, rails",Masters,14,Cloud Engineer
277,"leadership, nosql, powershell, pytorch, rabbitmq, react, tensorflow, ux_research",Bootcamp,12,Data Scientist
278,"cicd, gcp, grpc",Bachelors,14,DevOps Engineer
279,"apache_spark, data_viz, networking",Masters,13,Cybersecurity Analyst
280,"css, nodejs, rails",Bachelors,3,Frontend Developer
281,"csharp, rust, tensorflow",Masters,3,Machine Learning Engineer
282,"apache_spark, blockchain, statistics, technical_writing, typescript",Bachelors,4,Data Scientist
283,"computer_vision, figma, jenkins, linux",Bachelors,10,UX/UI Designer
284,"data_analysis, git, html, public_speaking, scala, statistics, terraform",Bachelors,11,Data Analyst
285,"docker, nodejs, typescript",PhD,13,Backend Developer
286,"mongodb, mysql, nosql, php, public_speaking, pytest, tensorflow, vue",Bachelors,5,Database Administrator
287,"deep_learning, microservices, networking, problem_solving, pytorch, testing, websockets",Bachelors,4,Data Scientist
288,"kubernetes, powerbi, testing",Bootcamp,2,Solutions Architect
289,"apache_spark, csharp, git, nodejs, selenium",Bachelors,4,Full Stack Developer
290,"apache, computer_vision, express, spring, supabase, testing",Bootcamp,13,Backend Developer
291,"communication, github_actions, kafka, pandas, problem_solving, project_management, pytest, terraform",Bootcamp,5,Product Manager
292,"figma, graphql, kafka",Masters,9,Backend Developer
293,"agile, computer_vision, elasticsearch, ethereum, figma, html",Masters,9,Project Manager
294,"data_analysis, firebase, photoshop, rails, react, sketch",Masters,10,Full Stack Developer
295,"cpp, css, excel, express, grpc, laravel",Masters,5,Robotics Engineer
296,"figma, r, react",Bootcamp,0,Frontend Developer
297,"leadership, nodejs, tensorflow",Bootcamp,12,Product Manager
298,"django, github_actions, nosql, powershell, scala, spring",Bachelors,12,Backend Developer
299,"communication, cybersecurity, git, gitlab, kafka, leadership, postgresql, react",Bootcamp,12,Software Developer
300,"apache, csharp, dotnet, networking",Masters,12,Cybersecurity Analyst
301,"angular, github_actions, graphql, illustrator, php, powerbi, python",Bachelors,15,Data Analyst
302,"machine_learning, scikit_learn, tensorflow",Bootcamp,4,Data Scientist
303,"computer_vision, firebase, grpc, java, nodejs, python, redis, vue",Bachelors,11,Backend Developer
304,"blockchain, csharp, data_viz, mongodb_atlas, pytorch, rails, rest_apis, rust",PhD,13,Data Scientist
305,"data_viz, kafka, laravel, terraform",Masters,13,Data Scientist
306,"blockchain, css, data_analysis, docker, firebase, react, tableau",Bachelors,10,DevOps Engineer
307,"dotnet, jira, rest_apis",Bachelors,7,Backend Developer
308,"ethereum, pandas, rust, sketch, tensorflow",Bachelors,10,Data Scientist
309,"cpp, cybersecurity, machine_learning",Masters,1,Cybersecurity Analyst
310,"kotlin, microservices, public_speaking, terraform",Bachelors,3,Backend Developer
311,"apache, cybersecurity, graphql, kafka, kotlin, postgresql, public_speaking, pytest",PhD,11,Full Stack Developer
312,"agile, gitlab, mongodb_atlas, tensorflow",Bachelors,4,DevOps Engineer
313,"csharp, ethereum, gitlab, grpc, jenkins, kafka, rabbitmq, ux_research",PhD,5,DevOps Engineer
314,"cypress, linux, scikit_learn",Bachelors,4,Machine Learning Engineer
315,"django, mongodb_atlas, nodejs, supabase",Bootcamp,3,Backend Developer
316,"graphql, kafka, scikit_learn, terraform",Bachelors,3,DevOps Engineer
317,"angular, networking, pytorch, rabbitmq, rest_apis, tableau, terraform",Bootcamp,5,Cloud Engineer
318,"devops, excel, gitlab",Bachelors,10,DevOps Engineer
319,"express, figma, kafka, powershell, pytest, r, websockets",Bootcamp,6,UX/UI Designer
320,"azure, firebase, illustrator",Bachelors,8,Cybersecurity Analyst
321,"flask, gcp, java, r",Masters,12,Backend Developer
322,"aws, hadoop, java, mongodb, ui_design, websockets",Bootcamp,2,UX/UI Designer
323,"cybersecurity, gitlab, kotlin, leadership, numpy",PhD,0,Cybersecurity Analyst
324,"bash, data_viz, mongodb_atlas, pytest, rabbitmq, rails, solidity, supabase",Bootcamp,3,Data Scientist
325,"aws, django, kubernetes, rest_apis, terraform",Bachelors,6,Cloud Engineer
326,"junit, redis, websockets",Bachelors,4,Backend Developer
327,"csharp, data_analysis, ethereum, git, html, supabase",Masters,7,Frontend Developer
328,"apache_spark, data_viz, linux",Bootcamp,4,Software Developer
329,"csharp, mongodb, nosql, pandas",Masters,5,Database Administrator
330,"go, python, solidity",Bootcamp,12,Data Scientist
331,"illustrator, mongodb, scala",Masters,11,Database Administrator
332,"excel, illustrator, nginx, nosql, tableau",Masters,12,Data Analyst
333,"agile, angular, azure, django, express, html, python",PhD,6,Frontend Developer
334,"bash, blockchain, deep_learning, figma, illustrator, python, sql",Bachelors,8,Backend Developer
335,"azure, cybersecurity, cypress, express, figma, flask, github_actions, powerbi",Bachelors,6,Cybersecurity Analyst
336,"data_viz, mysql, ruby",PhD,3,Data Scientist
337,"elasticsearch, linux, mongodb_atlas, nodejs, postgresql, rest_apis, swift",Bachelors,12,Backend Developer
338,"css, docker, flask, graphql, nginx, powershell, scala, sql",PhD,2,Full Stack Developer
339,"blockchain, project_management, redis",PhD,7,Blockchain Developer
340,"cypress, data_analysis, microservices, pytest, pytorch, spring",Masters,13,Backend Developer
